X,Y,STATE_NAME,DRAWSEQ,STATE_FIPS,SUB_REGION,STATE_ABBR,Statename,sum(P_total),sum(P_below_middle_school),sum(P_some_high_school),sum(P_high_school_equivalent),sum(P_some_college),sum(P_bachelor_and_above),avg(P_below_poverty),avg(median_age),avg(gini_index),avg(median_household_income),avg(percent_no_internet)
-80.298717409179,38.9165871327104,West Virginia,30,54,South Atlantic,WV,WV,731019,5472,42540,178760,138540,130981,17775.8571428571,39.5714285714286,0.477142857142857,47693.7142857143,16.9399112806076
-76.7237743284608,38.8598435983559,Maryland,31,24,South Atlantic,MD,MD,5738605,116199,224117,975426,996826,1567417,33417.3125,38.875,0.4178625,79914.3125,12.407610414668
-105.550568620891,38.864776863659,Colorado,32,8,Mountain,CO,CO,4755954,76063.0,162940.0,660711.0,918591.0,1294477.0,41797.8333333333,36.7916666666667,0.444325,68983.6666666667,9.05784889651299
-84.7374365293189,37.8193440170315,Kentucky,33,21,East South Central,KY,KY,2173786,25666,97331,382716,460026,454247,24254.2307692308,36.5846153846154,0.456223076923077,56352.8461538462,14.3324347842792
-98.3321881702395,38.5434863541764,Kansas,34,20,West North Central,KS,KS,1778435,22893.0,61103.0,254967.0,320811.0,442485.0,24840.5,34.4125,0.4392375,58393.5,13.9975745204178
-78.2371283671445,37.9965864608071,Virginia,35,51,South Atlantic,VA,VA,6080481,105015,215225,834533,1078833,1803511,18745.8666666667,37.8333333333333,0.43557,72424.3666666667,12.2372919713765
-92.4928258922787,38.2789834662,Missouri,36,29,West North Central,MO,MO,4139912,37482,164729,746590,864425,955697,29657.1176470588,37.5882352941176,0.440705882352941,55941.4705882353,14.4226157907307
-111.676824911773,34.1562651807831,Arizona,37,4,Mountain,AZ,AZ,6764001,184718,335996,1071435,1533764,1314916,107283.8,39.48,0.4592,46749.5,21.5835322239065
-97.21367167983,35.291390854743,Oklahoma,38,40,West South Central,OK,OK,2426888,41483,113706,434240,505944,456862,33168.8181818182,35.8636363636364,0.4474,51692.6363636364,15.6529436354393
-80.4092927195886,35.2258467599379,North Carolina,39,37,South Atlantic,NC,NC,8180205,149754,405975,1319083,1694336,1835447,29172.175,40.1825,0.460465,49415.375,17.9964787252126
-86.316988229973,35.8348518313824,Tennessee,40,47,East South Central,TN,TN,4560050,65522,217903,857941,896497,970652,32611.7,39.0,0.450295,53285.5,16.9209870347076
